Food_ID,Food_Name,Calories,Protein_g,Fat_g,Carbs_g,Fiber_g,Vitamin_C_mg,Iron_mg,Calcium_mg
F357,Buckwheat,709,32.0,19.8,34.3,9.9,75.2,2.3,366.6
F358,Rye,521,29.8,27.0,54.4,3.1,53.0,3.7,14.4
F359,Apricot,175,33.2,28.8,62.0,11.3,92.8,6.3,240.5
F360,Pecans,292,17.2,33.2,18.7,5.3,114.4,0.2,162.3
F361,Cheddar,167,4.1,23.0,57.3,10.1,16.5,2.0,114.7
F362,Pasta,448,25.1,27.0,4.1,10.1,23.8,5.0,454.1
F363,Avocado Oil,209,24.9,36.4,21.1,4.4,24.2,1.0,9.4
F364,Broccoli,359,32.3,28.8,4.7,1.9,9.2,4.3,88.0
F365,Dark Chocolate,407,45.0,38.0,52.1,1.6,58.6,2.8,401.8
F366,Beef,359,11.4,23.9,44.7,4.9,28.0,3.4,17.3
F367,Coriander,623,45.9,37.2,66.2,3.2,63.4,1.5,264.5
F368,Celery,439,12.6,9.8,31.5,14.5,23.1,1.4,280.5
F369,Navy Beans,603,27.7,39.3,11.3,12.2,11.4,0.6,308.4
F370,Garlic,246,32.1,16.9,48.8,8.3,102.3,7.3,139.4
F371,Walnuts,731,24.7,16.9,20.4,0.4,11.8,5.6,163.0
F372,Cheddar,58,44.1,27.2,29.8,3.0,107.2,1.0,331.1
F373,Coconut Oil,786,11.5,14.9,60.7,12.1,49.0,7.5,132.0
F374,Radish,87,13.9,22.7,50.5,12.1,38.4,2.8,482.0
F375,Almonds,618,36.7,37.9,76.2,7.4,105.0,5.6,78.8
F376,Kiwi,488,16.7,11.4,34.2,15.0,80.7,4.1,213.5
F377,Lentils,40,1.3,4.7,58.9,13.2,21.3,5.7,48.5
F378,Cashews,242,19.2,26.0,51.4,0.5,36.3,0.4,266.3
F379,Sunflower Seeds,269,31.8,8.6,35.2,2.2,72.5,3.4,139.9
F380,Orange,437,1.8,31.9,54.2,3.2,16.4,2.1,135.1
F381,Tuna,23,41.9,26.8,48.5,11.0,27.5,5.0,265.9
F382,Dark Chocolate,245,40.1,36.6,25.5,6.9,88.2,3.1,282.7
F383,Bread,696,29.0,18.0,19.3,13.1,62.2,4.5,44.0
F384,Garlic,222,6.5,19.9,46.4,13.6,1.8,4.1,190.0
F385,Yogurt,287,32.0,23.1,63.1,9.8,72.6,0.4,315.9
F386,Tuna,335,7.0,21.2,41.8,12.5,116.2,0.9,98.8
F387,Rosemary,64,20.9,34.5,5.2,1.7,68.7,4.7,349.0
F388,Mango,527,1.5,10.2,1.9,10.8,54.9,5.9,48.5
F389,Tofu,438,2.6,33.3,78.2,3.4,74.4,2.0,199.4
F390,Couscous,697,34.1,38.4,7.5,14.5,101.1,7.3,105.5
F391,Pecans,225,22.3,39.6,52.0,11.1,2.9,4.4,363.6
F392,Spinach,595,1.3,9.7,56.6,12.8,118.0,7.4,122.5
F393,Pineapple,292,45.7,15.9,8.0,3.7,81.8,4.8,208.2
F394,Almond Milk,98,49.2,8.4,31.0,4.3,50.1,5.9,161.4
F395,Plum,432,3.7,26.2,49.5,13.1,18.3,7.6,34.8
F396,Broccoli,128,15.3,2.9,75.5,6.1,108.5,3.9,183.0
F397,Egg,147,2.6,11.9,67.0,8.3,1.8,1.3,49.3
F398,Crab,211,37.4,31.7,62.3,4.6,104.4,7.4,41.1
F399,Hazelnuts,130,0.6,25.2,11.7,7.4,4.0,5.8,128.9
F400,Tomato,653,4.0,30.1,71.2,11.3,104.1,1.5,204.4
F401,Eggplant,318,34.1,16.7,2.6,12.8,2.8,3.0,129.8
F402,Pineapple,201,3.2,17.7,62.0,8.3,6.3,4.9,215.2
F403,Quinoa,488,34.1,13.6,56.1,0.3,104.2,7.8,316.0
F404,Peach,188,48.9,15.2,47.9,1.6,114.1,0.8,227.0
F405,Cabbage,751,2.4,10.7,1.8,8.4,118.3,3.5,461.8
F406,Corn,688,36.8,12.8,36.9,1.2,20.0,5.0,247.2
F407,Red Lentils,510,29.3,33.8,12.9,5.7,93.9,1.8,98.4
F408,Crab,346,43.9,7.7,19.3,11.6,16.4,0.6,262.6
F409,Tempeh,150,36.0,33.7,19.6,2.3,58.6,4.5,86.3
F410,Yogurt,508,28.6,20.2,50.1,9.6,9.1,0.7,14.5
F411,Chickpeas,662,10.9,6.4,48.9,1.4,54.9,2.6,314.8
F412,Bulgur,621,15.9,17.3,58.8,8.1,108.5,7.9,318.5
F413,Sage,711,32.1,1.0,12.2,6.2,10.3,3.6,441.2
F414,Sesame Seeds,97,37.6,26.6,59.5,3.1,56.6,0.7,339.0
F415,Strawberry,47,38.9,15.7,0.5,1.0,32.1,4.1,249.4
F416,Banana,383,11.6,22.1,37.5,8.9,75.1,3.7,375.2
F417,Cilantro,654,39.6,14.1,7.3,2.4,103.1,0.2,487.8
F418,Turmeric,494,6.2,11.8,62.7,14.1,34.8,3.6,451.3
F419,Cornmeal,437,42.5,5.9,5.8,5.7,29.2,4.7,242.5
F420,Quinoa,455,30.9,36.0,26.3,13.2,2.8,6.2,353.8
F421,Cocoa Powder,420,27.0,7.9,49.3,9.0,109.9,1.0,386.8
F422,Almonds,158,28.0,11.0,39.9,9.8,77.2,1.9,223.6
F423,Pasta,380,16.3,22.1,55.4,10.2,22.3,2.2,18.4
F424,Blueberry,669,28.7,22.0,17.3,8.0,104.5,4.0,203.2
F425,Zucchini,789,13.5,15.8,22.3,1.4,1.4,4.2,291.0
F426,Lentils,485,4.7,29.2,40.0,3.6,24.0,7.6,491.1
F427,Coconut Milk,754,29.6,16.1,43.9,7.0,16.8,1.6,230.6
F428,Fish,264,47.9,30.3,55.2,4.9,52.8,6.8,89.4
F429,Pork,703,44.4,5.5,44.2,0.8,99.0,3.6,28.7
F430,Soybeans,83,48.4,31.3,34.4,5.7,24.6,4.3,194.8
F431,Coriander,793,18.2,20.8,13.8,12.7,49.5,4.7,237.6
F432,Fish,628,11.1,26.3,8.8,7.4,35.0,2.7,36.1
F433,Sweet Potato,134,43.2,34.4,4.0,13.7,82.8,3.8,296.5
F434,Barley,401,42.1,22.6,15.5,8.5,41.3,4.2,36.5
F435,Cardamom,113,9.5,28.9,24.1,5.2,94.2,6.5,382.9
F436,Watermelon,639,16.9,38.9,38.5,2.5,69.4,2.0,195.3
F437,Broccoli,289,0.7,13.2,35.7,7.9,45.2,0.8,292.9
F438,Oregano,338,33.4,18.5,71.4,11.6,61.2,3.9,463.4
F439,Apricot,775,45.6,39.1,10.9,3.0,3.3,2.2,201.8
F440,Ricotta,200,9.9,10.8,19.6,2.3,105.1,7.5,269.7
F441,Parmesan,322,24.9,4.7,63.0,9.5,106.8,3.5,370.7
F442,Cocoa Powder,175,29.9,11.0,46.2,8.3,27.7,4.3,23.4
F443,Rye,638,6.9,23.0,6.4,11.7,20.0,4.3,382.2
F444,Walnuts,650,11.1,29.1,58.0,14.4,90.3,4.7,245.8
F445,Sage,478,26.6,35.6,75.8,0.5,15.7,6.2,341.6
F446,Egg White,155,39.3,21.0,74.4,10.8,7.8,3.7,412.5
F447,Avocado Oil,269,2.3,14.3,66.6,13.2,96.5,7.3,457.0
F448,Rye,80,38.8,22.9,49.4,1.1,40.5,7.0,100.2
F449,Mango,225,3.8,39.4,29.7,11.2,76.0,0.6,117.4
F450,Rosemary,658,22.0,31.1,60.6,7.7,2.0,5.7,322.8
F451,Coconut Milk,202,17.7,30.1,55.6,6.4,73.7,2.1,161.0
F452,Onion,297,24.0,22.1,48.5,7.2,115.0,2.1,253.0
F453,Cocoa Powder,566,46.1,38.8,2.9,3.3,61.9,5.7,74.2
F454,Celery,647,13.0,1.9,65.0,7.0,45.0,3.5,271.5
F455,Mushroom,606,43.2,28.7,37.7,7.0,102.5,5.9,485.7
F456,Garlic,200,25.2,13.0,48.6,4.3,16.8,7.2,13.2
F457,Cabbage,195,18.9,15.5,2.6,7.3,95.5,5.8,327.7
F458,Walnuts,112,28.6,18.1,79.8,7.8,15.2,3.8,224.7
F459,Greek Yogurt,339,33.9,23.4,71.5,10.2,21.6,7.2,148.0
F460,Brown Rice,199,39.2,18.4,69.2,3.8,94.5,6.7,315.0
F461,Pumpkin Seeds,729,47.3,39.3,33.0,8.8,83.8,6.2,455.5
F462,Pinto Beans,765,16.4,26.7,11.6,4.0,80.6,6.9,188.8
F463,Ghee,490,41.9,0.5,59.9,4.2,69.5,7.9,155.4
F464,Paprika,363,24.2,33.1,8.6,9.5,110.6,1.0,98.4
F465,Cocoa Powder,552,2.9,20.3,76.4,12.5,77.4,2.1,430.1
F466,Milk,340,11.1,0.7,17.9,4.7,81.4,0.3,324.3
F467,Pasta,200,31.5,27.2,34.3,0.4,74.7,6.0,495.3
F468,Peas,226,6.6,1.4,69.1,1.1,117.7,4.1,312.3
F469,Egg,477,37.1,24.6,53.6,12.5,81.5,1.3,144.3
F470,Peanuts,591,34.1,3.1,23.3,13.0,60.0,7.2,350.8
F471,Hazelnuts,777,30.5,1.4,69.5,8.0,60.7,3.2,68.0
F472,Grape,94,6.8,35.5,67.4,12.8,82.5,2.3,447.2
F473,Tuna,710,5.3,35.6,16.7,4.2,102.7,4.8,474.7
F474,Almond Milk,93,44.3,5.7,12.6,4.7,72.8,6.4,295.9
F475,Chicken Breast,632,48.6,1.2,77.7,6.9,111.6,2.1,51.9
F476,Basil,439,10.4,20.2,22.3,14.3,73.7,7.5,159.4
F477,Salmon,618,37.0,16.2,20.3,2.7,37.6,6.9,193.5
F478,Pinto Beans,45,5.2,31.9,28.3,14.6,65.3,6.5,148.8
F479,Grape,525,10.9,23.9,62.6,7.8,57.1,1.9,180.4
F480,Peanuts,107,20.5,2.3,69.6,9.9,29.6,2.6,383.5
F481,Rosemary,56,24.8,12.8,62.4,3.0,104.7,5.9,259.0
F482,Carrot,422,26.2,3.2,42.1,12.9,36.0,3.5,97.5
F483,Banana,423,34.3,12.0,22.5,12.1,9.3,6.4,293.3
F484,Beef,351,1.1,20.3,33.8,1.1,75.2,4.7,46.9
F485,Flax Seeds,677,14.4,35.4,21.8,1.8,57.0,5.6,475.1
F486,Sesame Seeds,430,17.4,5.9,42.6,4.9,5.0,1.2,143.5
F487,Barley,397,24.6,31.1,21.2,11.6,118.2,0.9,160.6
F488,Lettuce,39,27.0,21.6,51.6,8.2,114.1,0.7,98.0
F489,Chicken Thigh,498,40.7,26.2,61.4,4.3,17.6,4.4,119.3
F490,Rice,775,27.1,1.7,39.3,12.7,79.9,4.2,396.9
F491,Olive Oil,494,10.2,30.4,18.4,11.5,20.2,6.0,253.6
F492,Banana,515,23.8,15.7,79.4,14.5,90.7,4.3,17.9
F493,Papaya,211,9.7,31.0,69.9,4.0,116.6,5.7,12.5
F494,Bay Leaves,143,26.9,20.6,70.5,13.9,79.3,1.4,247.8
F495,Quinoa,30,11.0,16.8,31.0,12.3,14.6,2.7,355.0
F496,Tuna,119,21.1,34.0,35.4,12.1,105.1,3.2,446.2
F497,Almond Milk,135,7.5,0.3,51.1,0.8,88.1,4.1,225.2
F498,Black-eyed Peas,251,24.1,37.6,35.5,8.6,19.2,2.5,47.5
F499,Soy Milk,707,26.4,8.8,6.1,3.8,83.1,3.0,10.5
F500,Strawberry,55,0.9,2.1,67.0,3.0,57.8,1.1,458.6
